Active Status,Type,Item,Description,Account, Cost , Price 
Active,Inventory Part,C5 Bar 17786 Bronze,"Bar Stock, 0.188"" x 4.0"" (20.00'),-UC103725 Duracron S600, Bronze..(6005A-T61)..",4000 · Sales:4100 · Distribution,40,80
Active,Inventory Part,C5 Bar 25947 Bronze,"Bar Stock, 0.188"" x 6.0"" (20.00'),-UC103725 Duracron S600, Bronze..(6005A-T61)..",4000 · Sales:4100 · Distribution,60,120
Active,Inventory Part,C8 Louver AF,Aerofoil Sunshade Louver..(6005A-T61),4000 · Sales:4100 · Distribution,183.19, $-   
Active,Inventory Part,C8/12 W805X100DP-CP,"#10 x 3/4"" Phillips Pan TEC- Drill Point-One screw..Duracron Cool Parchment",4000 · Sales:4100 · Distribution,0.92,0.13
Active,Inventory Part,Cable Jig,Drill Jig for drilling posts for cable,4000 · Sales:4100 · Distribution,8.95, $-   
Active,Inventory Part,Cable Spool,"One-Piece Wire Spool; 11 3/4"" Flange (16-44 lb. spool)",4000 · Sales:4100 · Distribution,3.16, $-   
Active,Inventory Part,Concrete Anchor,"3/8""x3-3/4"" Wedge Anchor for Concrete Application",4000 · Sales:4100 · Distribution,1.05,0.95
Active,Inventory Part,CSP- Blk,Touch Up Spray Can (6 oz)- Black,4000 · Sales:4100 · Distribution,4.72,12.25
Active,Inventory Part,"CSP- Blk, 2 oz","Small Touch Up Paint, Brush on (2 oz)- Black",4000 · Sales:4100 · Distribution,5.77,10
Active,Inventory Part,CSP- Br,Touch Up Spray Can (6 oz)- Bronze,4000 · Sales:4100 · Distribution,4.72,12.25
Active,Inventory Part,"CSP- Br, 2 oz","Small Touch Paint, Brush on (2 oz)- Bronze",4000 · Sales:4100 · Distribution,5.77,10
Active,Inventory Part,CSP- W,Touch Up Spray Can (6 oz)- White,4000 · Sales:4100 · Distribution,4.72,12.25
Active,Inventory Part,"CSP- W, 2 oz","Small Touch Up Paint, Brush on (2 oz)- White",4000 · Sales:4100 · Distribution,5,10
Active,Inventory Part,Custom Color Touch-up Paint,,4000 · Sales:4100 · Distribution,14.5, $-   
Active,Inventory Part,CW-,Washer - Bolt Head Cover,4000 · Sales:4100 · Distribution,0.11,0.7
Active,Inventory Part,Extended WMP- MF,Extended Wall Mount Plate - Mill Finish,4000 · Sales:4100 · Distribution,8.9,19
Active,Inventory Part,Fascia Bracket Screws,#12 X 1 Hex w/h SDS 410 S/S w/1000 hour coating,4000 · Sales:4100 · Distribution,0.13,0.55
Active,Inventory Part,"FB In Cnr MF 180""","Front Bracket Inside Corner MF 180""",4000 · Sales:4100 · Distribution,144.63,420
Active,Inventory Part,"FB Int MF 180""","Front Bracket Intermediate MF 180""",4000 · Sales:4100 · Distribution,164.64,342.41
Active,Inventory Part,"FB Out Cnr MF 180""","Front Bracket Outside Corner MF 180""",4000 · Sales:4100 · Distribution,188.34,476.6
Active,Inventory Part,FI- Blk,Flat Infill (for Cable)  ( 20' )- Black,4000 · Sales:4100 · Distribution,16.9,55.1
Active,Inventory Part,FI- Br,Flat Infill (for Cable)  ( 20' )- Bronze,4000 · Sales:4100 · Distribution,15.4,55.1
Active,Inventory Part,FI- Cl,Flat Infill (for Cable)  ( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,19.04,74.94
Active,Inventory Part,FI- Gol Brn,"Flat Infill (for Cable)  ( 20' )- Glossy Brown UC138309, Duracron S600",4000 · Sales:4100 · Distribution,14.23,55.1
Active,Inventory Part,FI- Mil,Flat Infill (for Cable)  ( 20' )- Mill Finish,4000 · Sales:4100 · Distribution,12.08,55.1
Active,Inventory Part,FI- W,Flat Infill (for Cable)  ( 20' )- White,4000 · Sales:4100 · Distribution,15.11,55.1
Active,Inventory Part,"Fnc Post-Blank 3"" .125 12'  Blk","Fence CFG_POST_BLANK 3"" .125 BLANK 12",4000 · Sales:4100 · Distribution,65.65,155
Active,Inventory Part,"Fnc Post-Blank 4"" .125 12'  Blk","Fence CFG POST BLANK.. 4"" .125 BLANK 12' Blk..",4000 · Sales:4100 · Distribution,90.03,210
Active,Inventory Part,Foam Tubes,"4"" Standard Backer Rod Tubes (closed cell polyethylene foam), 6' length",4000 · Sales:4100 · Distribution,12.85,60
Active,Inventory Part,GATE HINGES,"Set of two gate hinges with fastener covers, Black",4000 · Sales:4100 · Distribution,27.71,72.8
Active,Inventory Part,GATE LATCH,"Gate Latch, Black",4000 · Sales:4100 · Distribution,24.22,62.4
Active,Inventory Part,GR-Rectangle 20'-Mill,"1"" x 2"" Rectangle Tubing Grab Rail - 20' Mill Finish",4000 · Sales:4100 · Distribution,47.42,94.84
Active,Inventory Part,GR-Rectangle Splice,"Coupling Splice for  1"" x 2"" Rectangle Tubing Grab Rail",4000 · Sales:4100 · Distribution, $-   ,5
Active,Inventory Part,GR-Round 20'-Mill,"1-1/2"" Schedule 40 Pipe Grab Rail - 20' Mill Finish",4000 · Sales:4100 · Distribution,59.03,113.24
Active,Inventory Part,GR-Round Splice,"Coupling Splice for  1-1/2"" Round  Pipe Grab Rail",4000 · Sales:4100 · Distribution,2.06,4.12
Active,Inventory Part,GR-Square 20'-Mill,"1.5"" x 1.5"" Square Tubing Grab Rail - 20' Mill Finish",4000 · Sales:4100 · Distribution,47.42,94.84
Active,Inventory Part,GR-Square Splice,"Coupling Splice for 1.5"" x 1.5"" Square Tubing Grab Rail",4000 · Sales:4100 · Distribution,9.56,11.32
Active,Inventory Part,Grabrail Bracket-MF,"Handrail Bracket, Aluminum, Extruded, 2-1/2 Inch from Wall to center of handrail, 1-1/2 Inch drop, Round Base, Mill Finish, Alloy 6063-T52",4000 · Sales:4100 · Distribution,8.04,22
Active,Inventory Part,GVS Bot Glass Vnl,Bottom Glass Vinyl (10'),4000 · Sales:4100 · Distribution,2.22,14.25
Active,Inventory Part,GVS Top Glass Vnl,Top Glass Vinyl (10'),4000 · Sales:4100 · Distribution,4.54,14.25
Active,Inventory Part,"Halfen Anchor-10"""," MBHT4510 – (HALFEN 4022 ANCHOR 10"")",4000 · Sales:4100 · Distribution,15,30
Active,Inventory Part,"Halfen Anchor-12"""," MBHT4512 – (HALFEN 4022 ANCHOR 12"")",4000 · Sales:4100 · Distribution,10.95,30.45
Active,Inventory Part,"Halfen Anchor-6"""," MBHT4506 – (HALFEN 4022 ANCHOR 6"")",4000 · Sales:4100 · Distribution,14.83,30
Active,Inventory Part,"Halfen Anchor-8"""," MBHT4508 – (HALFEN 4022 ANCHOR 8"")",4000 · Sales:4100 · Distribution,10.45,20.9
Active,Inventory Part,Halfen Corner,HT4512 Corner,4000 · Sales:4100 · Distribution,24.96,50
Active,Inventory Part,"HZA Halfen Anchor-12""","HZA 38/23-HDG-300 12"" Long Halfen Embed",4000 · Sales:4100 · Distribution,14.5,30
Active,Inventory Part,HZA Halfen Corner,HZA 38/23 HDG 300x300 Corner Halfen Embed,4000 · Sales:4100 · Distribution,38.63,79.26
Active,Inventory Part,HZS T Bolts 1/2 x 1 1/2- Halfen,"T bolts w/hex nuts for HZA Halfen Embeds - 1/2 x 1-1/2""",4000 · Sales:4100 · Distribution,5.08,10.87
Active,Inventory Part,IND SRS-S 9' 4CH STDBTM RACKABL,IND SERIES-S 9' 4CH STDBTM RACKABLE BK..,4000 · Sales:4100 · Distribution,211.25,498
Active,Inventory Part,INT-90° Splice,Internal 90° Splice Corner,4000 · Sales:4100 · Distribution,4.95,16.8
Active,Inventory Part,INT -135°,Internal 135° Splice Corner,4000 · Sales:4100 · Distribution,4.25,26.9
Active,Inventory Part,Inventory Note,,4000 · Sales:4100 · Distribution, $-   , $-   
Active,Inventory Part,IPF-  POW Blk,Intermediate Post Fitting- Black,4000 · Sales:4100 · Distribution,2.22,26.7
Active,Inventory Part,IPF-  POW Br,Intermediate Post Fitting- Bronze,4000 · Sales:4100 · Distribution,1.49,26.7
Active,Inventory Part,IPF-  POW C,Intermediate Post Fitting- Clear,4000 · Sales:4100 · Distribution,0.81,36.31
